customer_id,customer_name,customer_type,industry,segment,company_size_band,employee_count,annual_revenue_band,region,state,country,acquisition_channel,lifecycle_stage,customer_health_score,product_fit_score,support_complexity_score,price_sensitivity_score,churn_risk_score,start_date,churned_at,is_active,batch_id,created_at,updated_at
CUST_000001,Keystone Holdings Group 1,Commercial,Software,SMB,1-50,21,$0-$5M,South,AL,United States,Paid Search,churned,36,69,15,96,80,2023-11-18,2025-02-21,false,batch_2026_06_13_001,2023-11-18 08:30:00,2025-02-21 17:00:00
CUST_000002,Summit Care LLC 2,Commercial,Professional Services,SMB,51-200,133,$25M-$100M,Northeast,NH,United States,Partner,mature,66,80,36,43,26,2021-04-24,,true,batch_2026_06_13_001,2021-04-24 08:30:00,2026-06-13 09:00:00
CUST_000003,Synergy Works Co 3,Commercial,Construction,SMB,51-200,65,$25M-$100M,Northeast,NY,United States,Referral,onboarding,63,52,21,57,42,2026-04-08,,true,batch_2026_06_13_001,2026-04-08 08:30:00,2026-06-13 09:00:00
CUST_000004,Cobalt Builders Enterprises 4,Commercial,Construction,SMB,51-200,133,$25M-$100M,South,KY,United States,Outbound,mature,89,79,28,61,1,2023-03-03,,true,batch_2026_06_13_001,2023-03-03 08:30:00,2026-06-13 09:00:00
CUST_000005,Frontier Capital Company 5,Commercial,Professional Services,Mid-Market,201-1000,308,$25M-$100M,West,ID,United States,Partner,onboarding,74,89,48,43,10,2026-04-27,,true,batch_2026_06_13_001,2026-04-27 08:30:00,2026-06-13 09:00:00
CUST_000006,Blue Ridge Redwood Analytics 6,Commercial,Retail,Enterprise,5001+,10229,$1B-$5B,West,NV,United States,Outbound,churned,56,74,83,55,61,2021-09-20,2024-11-16,false,batch_2026_06_13_001,2021-09-20 08:30:00,2024-11-16 17:00:00
CUST_000007,Summit Networks Labs 7,Commercial,Professional Services,SMB,1-50,15,$25M-$100M,South,VA,United States,Referral,mature,54,58,11,79,57,2024-11-15,,true,batch_2026_06_13_001,2024-11-15 08:30:00,2026-06-13 09:00:00
CUST_000008,Waypoint Insights Company 8,Commercial,Retail,Mid-Market,1001-5000,4828,$500M-$1B,Northeast,ME,United States,Partner,adoption,85,68,48,14,19,2025-09-07,,true,batch_2026_06_13_001,2025-09-07 08:30:00,2026-06-13 09:00:00
CUST_000009,Liberty Networks Group 9,Commercial,Logistics,SMB,1-50,33,$5M-$25M,West,UT,United States,Content Marketing,churned,19,54,60,96,99,2022-07-17,2024-06-01,false,batch_2026_06_13_001,2022-07-17 08:30:00,2024-06-01 17:00:00
CUST_000010,Frontier Holdings Solutions 10,Commercial,Professional Services,SMB,51-200,104,$100M-$500M,Midwest,KS,United States,Referral,expansion,98,90,34,66,16,2021-05-03,,true,batch_2026_06_13_001,2021-05-03 08:30:00,2026-06-13 09:00:00
CUST_000011,Redwood Consulting Group 11,Commercial,Financial Services,Enterprise,5001+,11550,$500M-$1B,Northeast,PA,United States,Referral,adoption,85,79,79,46,45,2025-11-12,,true,batch_2026_06_13_001,2025-11-12 08:30:00,2026-06-13 09:00:00
CUST_000012,Evergreen Industrial Enterprises 12,Commercial,Professional Services,SMB,51-200,64,$25M-$100M,West,CA,United States,Content Marketing,adoption,77,86,27,79,30,2025-12-24,,true,batch_2026_06_13_001,2025-12-24 08:30:00,2026-06-13 09:00:00
CUST_000013,Synergy Dynamics Company 13,Commercial,Real Estate,SMB,1-50,17,$0-$5M,Northeast,ME,United States,Direct Sales,adoption,61,45,20,60,42,2026-01-15,,true,batch_2026_06_13_001,2026-01-15 08:30:00,2026-06-13 09:00:00
CUST_000014,Prairie Commerce Group 14,Commercial,Software,SMB,1-50,29,$0-$5M,South,VA,United States,Marketplace,churned,73,79,32,46,58,2024-01-08,2024-10-24,false,batch_2026_06_13_001,2024-01-08 08:30:00,2024-10-24 17:00:00
CUST_000015,Northstar Keystone Industrial 15,Commercial,Financial Services,SMB,51-200,145,$100M-$500M,Northeast,PA,United States,Referral,mature,69,50,25,37,28,2023-03-08,,true,batch_2026_06_13_001,2023-03-08 08:30:00,2026-06-13 09:00:00
CUST_000016,Terra Works Associates 16,Commercial,Retail,Mid-Market,201-1000,836,$100M-$500M,West,WA,United States,Referral,mature,94,88,33,59,12,2024-08-23,,true,batch_2026_06_13_001,2024-08-23 08:30:00,2026-06-13 09:00:00
CUST_000017,Meridian Partners Company 17,Commercial,Construction,Mid-Market,1001-5000,2379,$100M-$500M,Northeast,CT,United States,Content Marketing,adoption,65,79,74,43,30,2025-08-31,,true,batch_2026_06_13_001,2025-08-31 08:30:00,2026-06-13 09:00:00
CUST_000018,Apex Retail Co 18,Commercial,Software,Mid-Market,201-1000,788,$100M-$500M,Northeast,MA,United States,Paid Search,mature,48,49,32,43,57,2021-06-25,,true,batch_2026_06_13_001,2021-06-25 08:30:00,2026-06-13 09:00:00
CUST_000019,Harbor Energy Enterprises 19,Commercial,Professional Services,Mid-Market,1001-5000,3639,$100M-$500M,Midwest,MN,United States,Partner,mature,78,70,75,38,38,2023-07-13,,true,batch_2026_06_13_001,2023-07-13 08:30:00,2026-06-13 09:00:00
CUST_000020,Summit Commerce Co 20,Commercial,Hospitality,SMB,1-50,36,$0-$5M,Northeast,ME,United States,Event,mature,65,71,19,86,43,2024-01-29,,true,batch_2026_06_13_001,2024-01-29 08:30:00,2026-06-13 09:00:00
CUST_000021,Clearwater Commerce Enterprises 21,Commercial,Healthcare,Mid-Market,51-200,124,$100M-$500M,Northeast,NH,United States,Paid Search,adoption,79,70,17,58,25,2025-12-03,,true,batch_2026_06_13_001,2025-12-03 08:30:00,2026-06-13 09:00:00
CUST_000022,Meridian Medical Inc 22,Commercial,Financial Services,Mid-Market,201-1000,871,$100M-$500M,Midwest,KS,United States,Referral,adoption,74,90,49,60,37,2025-11-15,,true,batch_2026_06_13_001,2025-11-15 08:30:00,2026-06-13 09:00:00
CUST_000023,Blue Ridge Builders Labs 23,Commercial,Healthcare,SMB,1-50,33,$5M-$25M,West,NV,United States,Outbound,churned,35,55,26,61,90,2023-12-10,2025-12-22,false,batch_2026_06_13_001,2023-12-10 08:30:00,2025-12-22 17:00:00
CUST_000024,Silverline Health Company 24,Commercial,Professional Services,Mid-Market,201-1000,580,$100M-$500M,West,OR,United States,Outbound,mature,45,61,57,53,60,2023-06-06,,true,batch_2026_06_13_001,2023-06-06 08:30:00,2026-06-13 09:00:00
CUST_000025,Northstar Consulting Group 25,Commercial,Construction,SMB,1-50,27,$5M-$25M,West,ID,United States,Referral,churned,28,60,46,66,86,2025-06-29,2026-03-17,false,batch_2026_06_13_001,2025-06-29 08:30:00,2026-03-17 17:00:00
