customer_id,customer_name,customer_type,industry,segment,company_size_band,employee_count,annual_revenue_band,region,state,country,acquisition_channel,lifecycle_stage,customer_health_score,product_fit_score,support_complexity_score,price_sensitivity_score,churn_risk_score,start_date,churned_at,is_active,batch_id,created_at,updated_at
CUST_000002,Summit Care LLC 2 North,Commercial,Professional Services,SMB,51-200,133,$25M-$100M,Northeast,NH,United States,Partner,churned,36,78,56,59,88,2021-04-24,2026-06-13,false,batch_2026_06_13_incremental1,2021-04-24 08:30:00,2026-06-13 15:00:00
CUST_000003,Synergy Works Co 3 North,Commercial,Construction,SMB,51-200,65,$25M-$100M,Northeast,NY,United States,Referral,churned,33,50,41,73,88,2026-04-08,2026-06-13,false,batch_2026_06_13_incremental1,2026-04-08 08:30:00,2026-06-13 15:00:00
CUST_000004,Cobalt Builders Enterprises 4 North,Commercial,Construction,SMB,51-200,133,$25M-$100M,South,KY,United States,Outbound,churned,59,77,48,77,88,2023-03-03,2026-06-13,false,batch_2026_06_13_incremental1,2023-03-03 08:30:00,2026-06-13 15:00:00
CUST_000005,Frontier Capital Company 5 North,Commercial,Professional Services,Mid-Market,201-1000,308,$25M-$100M,West,ID,United States,Partner,expanding,84,95,41,41,1,2026-04-27,,true,batch_2026_06_13_incremental1,2026-04-27 08:30:00,2026-06-13 15:00:00
CUST_000007,Summit Networks Labs 7 North,Commercial,Professional Services,SMB,1-50,15,$25M-$100M,South,VA,United States,Referral,expanding,64,64,4,77,43,2024-11-15,,true,batch_2026_06_13_incremental1,2024-11-15 08:30:00,2026-06-13 15:00:00
CUST_000008,Waypoint Insights Company 8 North,Commercial,Retail,Mid-Market,1001-5000,4828,$500M-$1B,Northeast,ME,United States,Partner,expanding,95,74,41,12,5,2025-09-07,,true,batch_2026_06_13_incremental1,2025-09-07 08:30:00,2026-06-13 15:00:00
CUST_000010,Frontier Holdings Solutions 10 North,Commercial,Professional Services,SMB,51-200,104,$100M-$500M,Midwest,KS,United States,Referral,expanding,100,96,27,64,2,2021-05-03,,true,batch_2026_06_13_incremental1,2021-05-03 08:30:00,2026-06-13 15:00:00
CUST_000011,Redwood Consulting Group 11 North,Commercial,Financial Services,Enterprise,5001+,11550,$500M-$1B,Northeast,PA,United States,Referral,at_risk,65,77,100,44,67,2025-11-12,,true,batch_2026_06_13_incremental1,2025-11-12 08:30:00,2026-06-13 15:00:00
CUST_000012,Evergreen Industrial Enterprises 12 North,Commercial,Professional Services,SMB,51-200,64,$25M-$100M,West,CA,United States,Content Marketing,at_risk,57,84,50,77,52,2025-12-24,,true,batch_2026_06_13_incremental1,2025-12-24 08:30:00,2026-06-13 15:00:00
CUST_000013,Synergy Dynamics Company 13 North,Commercial,Real Estate,SMB,1-50,17,$0-$5M,Northeast,ME,United States,Direct Sales,at_risk,41,43,43,58,64,2026-01-15,,true,batch_2026_06_13_incremental1,2026-01-15 08:30:00,2026-06-13 15:00:00
CUST_010001,Apex Services Incremental 1,Commercial,Software,SMB,1-50,29,$0-$5M,West,CA,United States,Referral,onboarding,64,64,50,70,62,2026-06-13,,true,batch_2026_06_13_incremental1,2026-06-13 15:00:00,2026-06-13 15:00:00
CUST_010002,Brightline Systems Incremental 2,Commercial,Professional Services,SMB,51-200,132,$5M-$25M,West,AZ,United States,Paid Search,onboarding,77,83,51,50,56,2026-06-13,,true,batch_2026_06_13_incremental1,2026-06-13 15:00:00,2026-06-13 15:00:00
CUST_010003,Canyon Group Incremental 3,Commercial,Healthcare,Mid-Market,201-1000,486,$25M-$100M,South,TX,United States,Partner,onboarding,71,83,49,49,48,2026-06-13,,true,batch_2026_06_13_incremental1,2026-06-13 15:00:00,2026-06-13 15:00:00
CUST_010004,Evergreen Operations Incremental 4,Commercial,Financial Services,Enterprise,1001-5000,1858,$100M-$500M,Northeast,NY,United States,Outbound,onboarding,68,84,65,59,67,2026-06-13,,true,batch_2026_06_13_incremental1,2026-06-13 15:00:00,2026-06-13 15:00:00
CUST_010005,Frontier Solutions Incremental 5,Commercial,Retail,SMB,1-50,61,$0-$5M,Midwest,IL,United States,Organic Search,onboarding,76,78,20,23,40,2026-06-13,,true,batch_2026_06_13_incremental1,2026-06-13 15:00:00,2026-06-13 15:00:00
CUST_010006,Harbor Services Incremental 6,Commercial,Education,SMB,51-200,141,$5M-$25M,South,GA,United States,Webinar,onboarding,75,69,31,30,49,2026-06-13,,true,batch_2026_06_13_incremental1,2026-06-13 15:00:00,2026-06-13 15:00:00
CUST_010007,Ironwood Systems Incremental 7,Commercial,Property Management,Mid-Market,201-1000,467,$25M-$100M,West,WA,United States,Referral,onboarding,71,62,44,40,56,2026-06-13,,true,batch_2026_06_13_incremental1,2026-06-13 15:00:00,2026-06-13 15:00:00
CUST_010008,Juniper Group Incremental 8,Commercial,Software,Enterprise,1001-5000,1839,$100M-$500M,West,CA,United States,Paid Search,onboarding,81,69,18,52,46,2026-06-13,,true,batch_2026_06_13_incremental1,2026-06-13 15:00:00,2026-06-13 15:00:00
CUST_010009,Keystone Operations Incremental 9,Commercial,Professional Services,SMB,1-50,34,$0-$5M,West,AZ,United States,Partner,onboarding,60,63,64,66,68,2026-06-13,,true,batch_2026_06_13_incremental1,2026-06-13 15:00:00,2026-06-13 15:00:00
CUST_010010,Lighthouse Solutions Incremental 10,Commercial,Healthcare,SMB,51-200,117,$5M-$25M,South,TX,United States,Outbound,onboarding,68,68,54,42,58,2026-06-13,,true,batch_2026_06_13_incremental1,2026-06-13 15:00:00,2026-06-13 15:00:00
CUST_010011,Meridian Services Incremental 11,Commercial,Financial Services,Mid-Market,201-1000,490,$25M-$100M,Northeast,NY,United States,Organic Search,onboarding,73,86,28,52,49,2026-06-13,,true,batch_2026_06_13_incremental1,2026-06-13 15:00:00,2026-06-13 15:00:00
CUST_010012,Northstar Systems Incremental 12,Commercial,Retail,Enterprise,1001-5000,1847,$100M-$500M,Midwest,IL,United States,Webinar,onboarding,76,74,43,48,59,2026-06-13,,true,batch_2026_06_13_incremental1,2026-06-13 15:00:00,2026-06-13 15:00:00
CUST_010013,Pioneer Group Incremental 13,Commercial,Education,SMB,1-50,38,$0-$5M,South,GA,United States,Referral,onboarding,78,78,41,22,42,2026-06-13,,true,batch_2026_06_13_incremental1,2026-06-13 15:00:00,2026-06-13 15:00:00
CUST_010014,Summit Operations Incremental 14,Commercial,Property Management,SMB,51-200,137,$5M-$25M,West,WA,United States,Paid Search,onboarding,69,69,38,43,53,2026-06-13,,true,batch_2026_06_13_incremental1,2026-06-13 15:00:00,2026-06-13 15:00:00
CUST_010015,Trailhead Solutions Incremental 15,Commercial,Software,Mid-Market,201-1000,488,$25M-$100M,West,CA,United States,Partner,onboarding,67,70,66,71,65,2026-06-13,,true,batch_2026_06_13_incremental1,2026-06-13 15:00:00,2026-06-13 15:00:00
